{'loss': 1.9241209030151367, 'cancer_mean': 0.4892890751361847, 'tissue_mean': 0.7796445488929749, 'ad_mean': 0.5916571617126465, 'reconstruct_mean': 0.06353003531694412}
{'loss': 1.9426820278167725, 'cancer_mean': 0.506706178188324, 'tissue_mean': 0.7773944139480591, 'ad_mean': 0.5959091186523438, 'reconstruct_mean': 0.06267231702804565}
{'loss': 1.9291454553604126, 'cancer_mean': 0.4905506372451782, 'tissue_mean': 0.7803796529769897, 'ad_mean': 0.5946776270866394, 'reconstruct_mean': 0.06353753060102463}
{'loss': 1.9281657934188843, 'cancer_mean': 0.4934077560901642, 'tissue_mean': 0.773982584476471, 'ad_mean': 0.5985614061355591, 'reconstruct_mean': 0.06221398338675499}
{'loss': 1.9273146390914917, 'cancer_mean': 0.48412343859672546, 'tissue_mean': 0.7792465090751648, 'ad_mean': 0.6012843251228333, 'reconstruct_mean': 0.06266029924154282}
{'loss': 1.928652286529541, 'cancer_mean': 0.48606592416763306, 'tissue_mean': 0.7766534686088562, 'ad_mean': 0.6016742587089539, 'reconstruct_mean': 0.0642586350440979}
{'loss': 1.932671308517456, 'cancer_mean': 0.48473164439201355, 'tissue_mean': 0.7804396748542786, 'ad_mean': 0.6030587553977966, 'reconstruct_mean': 0.06444118171930313}
{'loss': 1.9204834699630737, 'cancer_mean': 0.47055456042289734, 'tissue_mean': 0.777668297290802, 'ad_mean': 0.6079042553901672, 'reconstruct_mean': 0.06435645371675491}
{'loss': 1.921679973602295, 'cancer_mean': 0.4739508032798767, 'tissue_mean': 0.7742201685905457, 'ad_mean': 0.6103450059890747, 'reconstruct_mean': 0.06316401809453964}
{'loss': 1.9315333366394043, 'cancer_mean': 0.4789688289165497, 'tissue_mean': 0.7767792344093323, 'ad_mean': 0.6115174293518066, 'reconstruct_mean': 0.0642678365111351}
{'loss': 1.9124627113342285, 'cancer_mean': 0.4629424512386322, 'tissue_mean': 0.7755898237228394, 'ad_mean': 0.6115618348121643, 'reconstruct_mean': 0.062368690967559814}
{'loss': 1.9343338012695312, 'cancer_mean': 0.47040727734565735, 'tissue_mean': 0.7808104753494263, 'ad_mean': 0.617733359336853, 'reconstruct_mean': 0.06538268178701401}
{'loss': 1.9319437742233276, 'cancer_mean': 0.468322217464447, 'tissue_mean': 0.7769320607185364, 'ad_mean': 0.6225854754447937, 'reconstruct_mean': 0.06410392373800278}
{'loss': 1.9239308834075928, 'cancer_mean': 0.45558229088783264, 'tissue_mean': 0.780360758304596, 'ad_mean': 0.6247801184654236, 'reconstruct_mean': 0.06320766359567642}
{'loss': 1.9282031059265137, 'cancer_mean': 0.4645088016986847, 'tissue_mean': 0.7766608595848083, 'ad_mean': 0.6234773993492126, 'reconstruct_mean': 0.06355590373277664}
{'loss': 1.934808373451233, 'cancer_mean': 0.4642006456851959, 'tissue_mean': 0.7755638957023621, 'ad_mean': 0.630663275718689, 'reconstruct_mean': 0.06438054889440536}
{'loss': 1.923221230506897, 'cancer_mean': 0.45518699288368225, 'tissue_mean': 0.7730032801628113, 'ad_mean': 0.6314189434051514, 'reconstruct_mean': 0.06361203640699387}
{'loss': 1.9333285093307495, 'cancer_mean': 0.4573437571525574, 'tissue_mean': 0.7773045897483826, 'ad_mean': 0.6340120434761047, 'reconstruct_mean': 0.06466805934906006}
{'loss': 1.9257891178131104, 'cancer_mean': 0.44588735699653625, 'tissue_mean': 0.7760931849479675, 'ad_mean': 0.6394801139831543, 'reconstruct_mean': 0.06432847678661346}
{'loss': 1.9388387203216553, 'cancer_mean': 0.4545665383338928, 'tissue_mean': 0.7781060338020325, 'ad_mean': 0.6427170634269714, 'reconstruct_mean': 0.06344912946224213}
{'loss': 1.9389891624450684, 'cancer_mean': 0.45391228795051575, 'tissue_mean': 0.7731844782829285, 'ad_mean': 0.6471654772758484, 'reconstruct_mean': 0.06472679227590561}
{'loss': 1.927950382232666, 'cancer_mean': 0.44165149331092834, 'tissue_mean': 0.7739046216011047, 'ad_mean': 0.6481239199638367, 'reconstruct_mean': 0.06427031755447388}
{'loss': 1.9367412328720093, 'cancer_mean': 0.4434387981891632, 'tissue_mean': 0.7742738127708435, 'ad_mean': 0.6533295512199402, 'reconstruct_mean': 0.06569897383451462}
{'loss': 1.9483487606048584, 'cancer_mean': 0.4451353847980499, 'tissue_mean': 0.7783771753311157, 'ad_mean': 0.6593891978263855, 'reconstruct_mean': 0.06544706970453262}
{'loss': 1.9480172395706177, 'cancer_mean': 0.4442032277584076, 'tissue_mean': 0.7741984724998474, 'ad_mean': 0.66344153881073, 'reconstruct_mean': 0.06617408245801926}
{'loss': 1.949878454208374, 'cancer_mean': 0.4398139715194702, 'tissue_mean': 0.7732426524162292, 'ad_mean': 0.6695656180381775, 'reconstruct_mean': 0.06725626438856125}
{'loss': 1.9456760883331299, 'cancer_mean': 0.43438324332237244, 'tissue_mean': 0.7706642746925354, 'ad_mean': 0.6742464303970337, 'reconstruct_mean': 0.06638221442699432}
{'loss': 1.956191897392273, 'cancer_mean': 0.4339345693588257, 'tissue_mean': 0.7762572169303894, 'ad_mean': 0.6797870397567749, 'reconstruct_mean': 0.06621308624744415}
{'loss': 1.9594056606292725, 'cancer_mean': 0.43893057107925415, 'tissue_mean': 0.7736316323280334, 'ad_mean': 0.6825162768363953, 'reconstruct_mean': 0.06432724744081497}
{'loss': 1.9541618824005127, 'cancer_mean': 0.4253884553909302, 'tissue_mean': 0.7739009261131287, 'ad_mean': 0.688037097454071, 'reconstruct_mean': 0.06683545559644699}
{'loss': 1.96830415725708, 'cancer_mean': 0.4334668517112732, 'tissue_mean': 0.7719584703445435, 'ad_mean': 0.6961953043937683, 'reconstruct_mean': 0.0666835829615593}
{'loss': 1.959118127822876, 'cancer_mean': 0.41503798961639404, 'tissue_mean': 0.7730639576911926, 'ad_mean': 0.7030495405197144, 'reconstruct_mean': 0.06796663254499435}
{'loss': 1.9641202688217163, 'cancer_mean': 0.41739246249198914, 'tissue_mean': 0.7711361050605774, 'ad_mean': 0.7093251943588257, 'reconstruct_mean': 0.06626655161380768}
{'loss': 1.9923646450042725, 'cancer_mean': 0.43631285429000854, 'tissue_mean': 0.773108720779419, 'ad_mean': 0.7156718969345093, 'reconstruct_mean': 0.06727112829685211}
{'loss': 1.9862028360366821, 'cancer_mean': 0.42455917596817017, 'tissue_mean': 0.7714266777038574, 'ad_mean': 0.7236810922622681, 'reconstruct_mean': 0.06653589755296707}
